id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,speechiness,popularity,release_year,key_signature,time_signature,detailed_moods
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.02,0.05,75,2023,C Major,4,happy|upbeat|bright
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.85,0.03,60,2021,A Minor,4,chill|focused|ambient
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.1,0.05,0.08,55,2018,E Minor,4,intense|aggressive|driving
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.6,0.58,0.86,0.9,0.04,65,2022,D Major,4,chill|peaceful|rainy
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.01,0.12,80,2024,G Minor,4,intense|energetic|motivating
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.95,0.02,45,2020,F Major,4,chill|ethereal|drifting
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.75,0.03,58,2019,Bb Major,4,relaxed|cozy|warm
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.8,0.04,70,2021,C Minor,4,moody|driving|retro
9,Focus Flow,LoRoom,lofi,focused,0.4,80,0.59,0.6,0.78,0.88,0.05,62,2023,A Minor,4,focused|steady|calm
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.04,0.06,68,2022,E Major,4,happy|breezy|carefree
11,Golden Chain,Flow State,hip-hop,confident,0.78,95,0.72,0.85,0.08,0.0,0.45,85,2023,D Minor,4,confident|bouncy|bold
12,Moonlit Sonata,Clara Voss,classical,peaceful,0.22,58,0.68,0.28,0.97,0.98,0.01,50,2017,C# Minor,3,peaceful|melancholy|elegant
13,Velvet Hour,Sable & June,r&b,romantic,0.55,88,0.76,0.67,0.42,0.02,0.08,72,2022,F# Minor,4,romantic|smooth|sensual
14,Dusty Road Home,The Pines,country,nostalgic,0.44,96,0.63,0.52,0.81,0.01,0.04,64,2015,G Major,4,nostalgic|acoustic|heartfelt
15,Overdrive,Pulse Theory,edm,euphoric,0.96,140,0.82,0.94,0.03,0.6,0.06,78,2024,B Minor,4,euphoric|explosive|hypnotic
16,Hollow Rain,Ember Frost,folk,sad,0.3,68,0.32,0.38,0.88,0.05,0.04,48,2019,A Minor,4,sad|introspective|raw
17,Iron Curtain,Nocturn,metal,angry,0.95,168,0.35,0.58,0.06,0.08,0.15,52,2016,D Minor,4,angry|heavy|dark
18,Island Echo,Coral Drift,reggae,dreamy,0.52,82,0.74,0.63,0.55,0.03,0.09,59,2020,C Major,4,dreamy|laid-back|sunny
19,La Rebelion,Joe Arroyo,salsa,energetic,0.85,104,0.9,0.75,0.15,0.02,0.06,77,1986,G Minor,4,energetic|classic|danceable
20,Superstition,Stevie Wonder,funk,groovy,0.79,101,0.88,0.82,0.05,0.05,0.08,92,1972,Eb Minor,4,groovy|iconic|funky
21,Smells Like Teen Spirit,Nirvana,grunge,rebellious,0.95,117,0.45,0.48,0.01,0.01,0.06,95,1991,F Minor,4,rebellious|angsty|raw
22,Water,Tyla,amapiano,sensual,0.7,117,0.6,0.85,0.2,0.03,0.07,89,2023,G Minor,4,sensual|rhythmic|trendy
23,The Girl from Ipanema,Stan Getz & Joao Gilberto,bossa nova,relaxed,0.25,129,0.55,0.58,0.85,0.25,0.04,83,1964,Db Major,4,relaxed|smooth|breezy
24,Stayin' Alive,Bee Gees,disco,upbeat,0.82,104,0.95,0.88,0.03,0.02,0.05,91,1977,F Minor,4,upbeat|groovy|strutting
25,God's Plan,Drake,trap,reflective,0.45,77,0.35,0.75,0.05,0.0,0.35,94,2018,C Major,4,reflective|triumphant|bouncy
26,I Walk The Line,Johnny Cash,rockabilly,steadfast,0.5,105,0.7,0.65,0.75,0.01,0.04,82,1956,F Major,4,steadfast|classic|earnest
27,Ddu-Du Ddu-Du,BLACKPINK,k-pop,fierce,0.88,140,0.65,0.78,0.02,0.0,0.2,90,2018,E Minor,4,fierce|confident|explosive
28,A Message to You Rudy,The Specials,ska,laid-back,0.55,75,0.68,0.72,0.25,0.15,0.08,74,1979,C Major,4,laid-back|bouncy|classic
29,Oye Como Va,Santana,latin rock,festive,0.75,130,0.85,0.65,0.35,0.65,0.04,86,1970,A Minor,4,festive|groovy|jamming
30,Blue Monday,New Order,synth-pop,brooding,0.85,130,0.4,0.78,0.02,0.55,0.04,88,1983,F Major,4,brooding|driving|iconic
